system:index,B10_count,B10_mean,B10_variance,B11_count,B11_mean,B11_variance,B12_count,B12_mean,B12_variance,B1_count,B1_mean,B1_variance,B2_count,B2_mean,B2_variance,B3_count,B3_mean,B3_variance,B4_count,B4_mean,B4_variance,B5_count,B5_mean,B5_variance,B6_count,B6_mean,B6_variance,B7_count,B7_mean,B7_variance,B8A_count,B8A_mean,B8A_variance,B8_count,B8_mean,B8_variance,B9_count,B9_mean,B9_variance,Block,DOY_count,DOY_mean,DOY_variance,GCVI_count,GCVI_mean,GCVI_variance,GPSID,ID,NDVI_count,NDVI_mean,NDVI_variance,QA10_count,QA10_mean,QA10_variance,QA20_count,QA20_mean,QA20_variance,QA60_count,QA60_mean,QA60_variance,RNDMTRACKID,SUBID,Schedule_id,TOTID,Village,a2,a2_org,a3,a4,a5,a5_1,a5_2,a6,a6_1,a6_2,a7,a7_1,a7_1_1_r1,a7_1_1_r2,a7_1_1_r3,a7_1_1_r4,a7_2,a7_2_1_r1,a7_2_1_r2,a7_2_1_r3,a7_2_1_r4,a8,a9,a9_str,area,canopy,chemical,coordsetsn,description,district,ex_description,ex_name,gps1,gps2,gpsfileid,i1_district,i4_cocoid,intercroppingCrop,intercroppingPercent,isFertilizedType,isIntercropping,isWeeded,lodging,mstimestamp,name,noTimesIrrigated,noTimesWeeded,random,seedSource,seedVariety,swi,weedCoverPercent,yield,yieldLevel100Break,yieldLevelColors,.geo
20161222T050222_20161222T050600_T44RRN_77,6,12,0,6,2015,12535.2,6,1426.666667,2176.266667,6,2716,0,6,2523.5,828.3,6,2304.833333,813.3666667,6,2270.333333,1619.866667,6,2210.666667,1233.866667,6,2417,2933.6,6,2557.333333,5508.266667,6,2583.666667,8081.866667,6,2348.333333,2539.066667,6,492,0,15,6,357,0,6,18.33333333,197.4666667,Mf 56,188_0,6,16.5,47.5,6,0,0,6,0,0,6,0,0,896511,5136,1.05E+08,TRACK896511_SUB5136,51,2.71E+07,2711,2,2,2,0,0,1,1,3,3,2,4,2,0,0,1,20,0,0,0,1,2,NO,444.9534103,,6,2,,Muzaffarpur,,,2.02E+07,170627,6.36E+17,5,902764,,,YES Both,NO,YES,2,1.48238E+12,,1,1,0.513690279,purchased seeds,Lal bhadur,0,>50%,355.68,4,89751C,
20161222T050222_20161222T050600_T44RRN_83,2,12,0,2,1756.5,4900.5,2,1188.5,6844.5,2,2577,0,2,2345.5,4.5,2,2127,72,2,1987,32,2,1981.5,264.5,2,2295,8,2,2444,32,2,2494,50,2,2223.5,24.5,2,477,0,15,2,357,0,2,44.5,40.5,Mf 55,181_0,2,55.5,4.5,2,0,0,2,0,0,2,0,0,278695,6024,1.05E+08,TRACK278695_SUB6024,51,2.91E+07,2911,3,2,1,1,1,1,1,3,1,3,2,2,1.5,0,0,0,0,0,0,2,2,NO,197.4143611,,5.5,1,,Muzaffarpur,,,2.02E+07,150159,6.36E+17,5,902691,mustard,<25%,YES Chemical Fertilizer,YES,YES,2,1.48238E+12,,2,1,0.602441051,Through Jeevika,Lal bhadur,0,>50%,352.21,4,89751C,
20161222T050222_20161222T050600_T44RRN_84,4,11,0,4,1427,300,4,818,33.33333333,4,2411,1.333333333,4,2167,166,4,1912.75,45.58333333,4,1716.25,66.91666667,4,1747.5,27,4,2163.5,408.3333333,4,2357,161.3333333,4,2365.5,560.3333333,4,2103,16.66666667,4,460.5,3,15,4,357,0,4,99,4.666666667,Mf 37,160_0,4,101,10,4,0,0,4,0,0,4,0,0,325002,6627,1.05E+08,TRACK325002_SUB6627,49,2.61E+07,2611,2,2,2,0,0,1,1,3,3,3,6,2,2,0,1,15,0,0,0,2,2,NO,414.8682036,,10,1,,Muzaffarpur,,,2.02E+07,122601,6.36E+17,5,903169,,,YES Both,NO,YES,3,1.48238E+12,,2,1,0.662717125,purchased seeds,Lal bhadur,0,>50%,328.11,4,89751C,
20161222T050222_20161222T050600_T44RRN_85,5,11,0,5,1654.6,768.8,5,1012,1805,5,2394,0,5,2155,223,5,1905.8,419.7,5,1727.6,920.3,5,1752.8,336.2,5,2220.4,156.8,5,2446.2,387.2,5,2519.2,7.2,5,2203.8,882.7,5,475,0,15,5,357,0,5,156.2,372.7,Mf 39,159_0,5,120.6,153.3,5,0,0,5,0,0,5,0,0,954429,2871,1.05E+08,TRACK954429_SUB2871,49,2.01E+07,2011,2,2,2,0,0,1,2,3,3,3,2,1,1,0,1,10,0,0,0,2,2,NO,509.8067931,,4,3,,Muzaffarpur,,,2.02E+07,114348,6.36E+17,5,902888,,,YES Both,NO,YES,3,1.48238E+12,,2,2,0.287101736,purchased seeds,Lal bhadur,0,>50%,226.09,3,6C9223,
20161222T050222_20161222T050600_T44RRN_88,2,9,0,2,1578,0,2,834,0,2,2418,0,2,2172,18,2,1915,2,2,1714.5,84.5,2,1734,0,2,2203,0,2,2429,0,2,2537,0,2,2264.5,312.5,2,472,0,15,2,357,0,2,182,98,Mf 51,163_0,2,137.5,40.5,2,0,0,2,0,0,2,0,0,632228,7471,1.05E+08,TRACK632228_SUB7471,50,2.21E+07,2211,3,2,2,0,0,2,0,0,3,3,2.5,2,2,0,1,70,0,0,0,2,2,NO,231.0722669,PARTIAL-90%,6.5,2,,Muzaffarpur,,,2.02E+07,134358,6.36E+17,5,1980455,,,YES Both,NO,NO,2,1.48238E+12,,2,0,0.747167401,Through Jeevika,Lal bhadur,0,,305.8,4,89751C,
20161222T050222_20161222T050600_T44RRN_278,9,7.555555556,0.777777778,9,1502.333333,6151.75,9,995.1111111,10047.86111,9,2484.444444,4.777777778,9,2252,204.25,9,2007.666667,98.25,9,1875.444444,241.2777778,9,1857.111111,243.1111111,9,2086.111111,20.11111111,9,2214.222222,266.4444444,9,2234.888889,167.6111111,9,2002.444444,244.7777778,9,435.5555556,100.0277778,15,9,357,0,9,-2.555555556,52.02777778,Mf 58,182_1,9,32.33333333,15,9,0,0,9,0,0,9,0,0,151715,2446,1.05E+08,TRACK151715_SUB2446,51,2.11E+07,2111,2,2,1,1,1,1,1,3,3,3,4,2,1,0,1,10,0,0,0,2,2,NO,807.921902,,7,3,,Muzaffarpur,,,2.02E+07,154843,6.36E+17,5,902782,mustard,<25%,YES Both,YES,YES,3,1.48238E+12,,2,1,0.244687925,purchased seeds,Lal bhadur,0,>50%,283.95,3,6C9223,
20161222T050222_20161222T050600_T44RRN_90,9,10,0,9,1625.555556,2228.527778,9,1141.555556,3646.027778,9,2519,0,9,2284.777778,217.9444444,9,2049.666667,204,9,1926.444444,197.2777778,9,1882,36.25,9,2114.222222,97.69444444,9,2219,87,9,2212.222222,230.6944444,9,2018.333333,1050.25,9,436,0,15,9,357,0,9,-15,95.5,Mf 62,183_0,9,22.66666667,29.5,9,0,0,9,0,0,9,0,0,301597,6262,1.05E+08,TRACK301597_SUB6262,51,2.11E+07,2111,2,2,1,1,1,1,1,3,3,3,4,2,2,0,1,25,0,0,0,2,2,NO,762.2810385,,8,1,,Muzaffarpur,,,2.02E+07,160307,6.36E+17,5,902767,mustard,<25%,YES Both,YES,YES,2,1.48238E+12,,2,1,0.626200461,purchased seeds,Lal bhadur,0,>50%,239.24,3,6C9223,
20161222T050222_20161222T050600_T44RRN_91,6,9.5,0.3,6,1616.666667,4448.666667,6,1132.666667,5991.866667,6,2522,10.8,6,2278.5,80.3,6,2044,43.2,6,1923.666667,117.0666667,6,1887.333333,382.6666667,6,2104.166667,77.36666667,6,2220.833333,138.5666667,6,2215.833333,566.5666667,6,1986,535.2,6,432,19.2,15,6,357,0,6,-27.83333333,90.56666667,Mf 61,185_0,6,15.5,16.3,6,0,0,6,0,0,6,0,0,18617,6387,1.05E+08,TRACK18617_SUB6387,51,2.51E+07,2511,2,2,1,1,1,1,1,3,3,3,3,1,1,0,1,15,0,0,0,2,2,NO,660.0333449,,5,1,,Muzaffarpur,,,2.02E+07,160807,6.36E+17,5,902773,mustard,<25%,YES Both,YES,YES,3,1.48238E+12,,2,1,0.638759326,purchased seeds,Lal bhadur,0,>50%,216.73,3,6C9223,
20161222T050222_20161222T050600_T44RRN_92,7,11.42857143,1.285714286,7,1483.285714,402.5714286,7,949.5714286,304.2857143,7,2408,20,7,2170.571429,83.61904762,7,1922.142857,59.14285714,7,1757,210,7,1780.714286,59.9047619,7,2110.857143,273.4761905,7,2249.285714,856.9047619,7,2301,1698,7,2034.857143,426.8095238,7,448.5714286,94.28571429,15,7,357,0,7,58.14285714,177.8095238,Mf 38,158_0,7,72.85714286,33.14285714,7,0,0,7,0,0,7,0,0,229972,7551,1.05E+08,TRACK229972_SUB7551,49,2.01E+07,2011,2,21,2,0,0,2,0,0,3,3,3,2,1,0,1,20,0,0,0,3,2,NO,642.6117506,,6,2,,Muzaffarpur,,,2.02E+07,112312,6.36E+17,5,902869,,,YES Both,NO,NO,3,1.48238E+12,,3,0,0.755118216,purchased seeds,Lal bhadur,0,,327.2,4,89751C,
20161222T050222_20161222T050600_T44RRN_79,1,12,,1,1887,,1,1266,,1,2577,,1,2366,,1,2138,,1,2004,,1,2000,,1,2325,,1,2501,,1,2566,,1,2324,,1,477,,15,1,357,,1,86,,Mf 57,180_0,1,73,,1,0,,1,0,,1,0,,908063,1882,1.05E+08,TRACK908063_SUB1882,51,2.51E+07,2511,2,2,2,0,0,2,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,NO,189.0584998,,3,4,,Muzaffarpur,,,2.02E+07,145605,6.36E+17,5,902758,,,YES Chemical Fertilizer,NO,NO,3,1.48238E+12,,1,0,0.188285284,purchased seeds,Lal bhadur,0,,420.51,5,A75715,
20161222T050222_20161222T050600_T44RRN_271,2,10.5,0.5,2,1495.5,24.5,2,882.5,60.5,2,2428,8,2,2178.5,12.5,2,1928,98,2,1757,288,2,1780.5,4.5,2,2196.5,84.5,2,2397.5,180.5,2,2437.5,24.5,2,2190.5,40.5,2,475,18,15,2,357,0,2,135.5,84.5,Mf 41,162_1,2,109.5,12.5,2,0,0,2,0,0,2,0,0,60910,2525,1.05E+08,TRACK60910_SUB2525,50,2.01E+07,2011,3,19,1,1,1,1,2,3,3,3,2,2,1,0,1,10,0,0,0,2,2,NO,201.1683989,,5,2,,Muzaffarpur,,,2.02E+07,133230,6.36E+17,5,1980417,mustard,<25%,YES Both,YES,YES,3,1.48238E+12,,2,2,0.252522083,Through Jeevika,Lal bhadur,1,>50%,496.26,5,A75715,
20161222T050222_20161222T050600_T44RRN_273,2,9,0,2,1555,0,2,962,0,2,2406,0,2,2160.5,4.5,2,1920,72,2,1742.5,112.5,2,1740,0,2,2165,0,2,2343,0,2,2441,0,2,2202.5,264.5,2,468,0,15,2,357,0,2,146.5,12.5,Mf 52,167_1,2,116.5,0.5,2,0,0,2,0,0,2,0,0,760974,9308,1.05E+08,TRACK760974_SUB9308,50,2.01E+07,2011,3,2,2,0,0,1,2,3,3,3,3,2,2,0,1,15,0,0,0,2,2,NO,155.6157686,PARTIAL-20%,7,2,,Muzaffarpur,,,2.02E+07,153600,6.36E+17,5,1980414,,,YES Both,NO,YES,3,1.48238E+12,,2,2,0.930850605,Through Jeevika,Lal bhadur,0,>50%,324.19,4,89751C,
